INDV	N_SITES	MEAN_DEPTH
SyracuseNY_954	1012	3.7164
SyracuseNY_955	43	1
SyracuseNY_956	5667	20.264
SyracuseNY_957	2911	7.60632
WallKillRiverNJ_57	4228	23.0106
WallKillRiverNJ_58	3837	16.3977
WallKillRiverNJ_59	4065	20.861
WestboroughCedarSwampEastMA_190	4444	32.1487
WestboroughCedarSwampEastMA_191	2071	5.61564
WestboroughCedarSwampEastMA_192	1338	3.71226
WestboroughCedarSwampEastMA_193	3653	17.2921
WestboroughCedarSwampEastMA_194	2084	6.47169
WestboroughCedarSwampEastMA_195	3179	11.3146
WestboroughCedarSwampEastMA_196	4330	28.2866
WestboroughCedarSwampEastMA_197	4170	21.7041
WestboroughCedarSwampEastMA_198	2219	6.28346
WestboroughCedarSwampEastMA_199	4168	23.6636
WestboroughCedarSwampEastMA_201	4323	24.3738
WestboroughCedarSwampEastMA_202	1935	4.46977
WestportIslandME_382	2040	6.74706
WestportIslandME_383	3559	12.3987
WestportIslandME_388	3962	21.3607
WestportIslandME_504	3307	11.4116
WestportIslandME_506	3956	17.2401
WestportIslandME_507	3732	18.1803
WestportIslandME_508	2814	10.6819
WestportIslandME_509	4398	24.7467
WestportIslandME_510	4233	22.6471
WestportIslandME_511	3928	17.3442
WestportIslandME_512	4300	21.6277
WestportIslandME_513	3762	18.0558
WhiteRoadDE_1158	3948	17.4967
WhiteRoadDE_1159	4054	21.6214
WhiteRoadDE_1160	2587	8.21144
WhiteRoadDE_1161	3984	22.8675
WhiteRoadDE_1162	4260	24.3829
WhiteRoadDE_1163	3355	14.2796
WhiteRoadDE_1164	4122	21.1519
WhiteRoadDE_1165	549	2.04918
WhiteRoadDE_1166	3195	10.9358
WhiteRoadDE_1167	4602	34.1638
WhiteRoadDE_1169	4402	27.1565
WhiteRoadDE_1170	3185	9.69984
WillaWaigneurGA_686	1811	5.26008
WillieHillRoadME_410	4458	27.9695
WillieHillRoadME_411	194	1.8866
WillieHillRoadME_412	3263	11.0922
WillieHillRoadME_413	4304	24.7767
WillieHillRoadME_414	4304	31.9861
WillieHillRoadME_422	3424	12.9947
WillieHillRoadME_424	4528	31.5492
WillieHillRoadME_432	4256	29.9709
WillieHillRoadME_433	0	nan
WillieHillRoadME_441	4155	29.6578
WillieHillRoadME_443	471	2.0552
WillieHillRoadME_452	2774	8.52776
WoolrichRouteME_547	4257	20.3712
